RAYO,¿Qué tiene cuello pero no cabeza?,la botella ,
RAYO,¿Qué hay al final del arco iris? ,"la ""s""",
RAYO,El tan frágil que decir su nombre lo rompe. ,el silencio ,
RAYO,Qué letra sigue la secuencia : EFMAMJJASON_ ,D,
RAYO,Nunca me quito la ropa pero me pongo un disfraz sobre mi vestido verde. ¿Qué soy? ,El aveto,
RAYO,,,
RAYO,,,
RAYO,,,
RAYO,,,
RAYO,,,
MUSICAL,¿CUÁL ES EL GRUPO MUSICAL? ,,
MUSICAL,¿CUÁL ES EL TÍTULO DE LA CANCIÓN? ,,
MUSICAL,¿CUÁL ES EL GRUPO MUSICAL? ,,
MUSICAL,¿CUÁL ES EL TÍTULO DE LA CANCIÓN? ,,
MUSICAL,¿CUÁL ES EL GRUPO MUSICAL? ,,
MUSICAL,¿CUÁL ES EL GRUPO MUSICAL? ,,
MUSICAL,¿CUÁL ES EL TÍTULO DE LA CANCIÓN? ,,
MUSICAL,¿CUÁL ES EL GRUPO MUSICAL? ,,
MUSICAL,¿CUÁL ES EL TÍTULO DE LA CANCIÓN? ,,
MUSICAL,¿CUÁL ES EL GRUPO MUSICAL? ,,
MUSICAL,¿CUÁL ES EL TÍTULO DE LA CANCIÓN? ,,
V-F,Papa Noel es Conocido tambien como San Nicolás,verdadero,
V-F,Los pesebres consisten en la reprentación del nacimiento de Jesús,verdadero,
V-F,El mito actual cuenta que Santa Claus viviría en el Polo Sur.,falso,
V-F,"En Alemán, la fiesta de navidad se denomina Weihnachten",verdadero,
V-F,¿Es cierto que la Iglesia intentó erradicar la costumbre del árbol de Navidad?,verdadero ,
V-F,En el siglo XVIII nació la costumbre de tomar uvas el último día del año,Falso (XIX),
V-F,"En Finlandia mantienen el árbol de Navidad adornado y con luces hasta 20 días 
después de la celebración de Navidad",Falso,
V-F,El grupo Nirvana se inició en 1990,Falso (1987),
V-F,¡Beyoncé tuvo gemelos este año! Se llaman Sir y Sienna ,Falso (Sir y Rumi) ,
V-F,En Twitter se pueden escribir 280 carácteres. ,verdadero ,
V-F,Es verdad que lady gaga presento un concierto de britney?,falso ,
V-F,"Los heavys de la gran via fueron un icono del movimiento rockero en el Madrid 
de los años 80",verdadero ,
V-F,Costa Rica en 2015 fue nombrado el país más feliz del mundo. ,verdadero ,
V-F,,,
V-F,,,
V-F,,,
ABIERTA,¿Dónde se produjeron las primeras tarjetas navideñas para su venta comercial?,Reino Unido,
ABIERTA,"Una pelicula cuya historia se desenvuelve en epoca navideña. 
- Scream
- 50 primeras citas
- Duro de Matar
- Cuatro bodas y un funeral",Duro de matar,
ABIERTA,"Según el saber popular, ¿cuántos renos guían el trineo de Papá Noel?",8,
ABIERTA,¿En qué océano se encuentra la Isla de Navidad?,Océano Índico.,
ABIERTA,"¿Quién escribió ""Cuento de Navidad""?",Charles Dickens.,
ABIERTA,"¿El árbol de navidad de la Plaza de Trafalgar ha sido un regalo anual para la gente de
Gran Bretaña de qué ciudad? 
- Oslo
- Nueva York 
- Estocomo 
- Zurich",Oslo,
ABIERTA,"¿Cuál es el país de origen de la palabra XMAS?
- Reino Unido 
- Alemania 
- Grecia 
- Malta",Grecia,
ABIERTA,¿Dónde surgió la tradición de decorar el árbol de Navidad?,Alemania,
ABIERTA,"¿Dónde se cree que se encuentran los restos de los Reyes Magos?
- Nuremberg 
- Jerusalen 
- Colonia 
- Vaticano",Colonia,
ABIERTA,"¿Cuál es el lugar del planeta en el que se entra antes al nuevo año?
- Isla Bora Bora
- Isla Pakapuka
- Isla Kiritimati 
- Isla de Pascua",Kiritimati,
ABIERTA,"¿En qué país es tradición limpiar de arriba a abajo la casa el día 31 de diciembre para recibir 
el nuevo año?
- Japón 
- Venezuela
- España
 - India",japón,
ABIERTA,"Qué banda nació primero? 
- The Who 
- The beatles 
- The Rolling Stones 
- The Doors ",Beatles ,
ABIERTA,¿Quién fue el primer guitarrista de Metallica? (a parte de James Hetfield),Dave Mustain,
ABIERTA,"¿Cuál es el verdadero nombre de Demi Lovato?
- Demi Devionne Lovato
- Demetria Levonne 
- Demetria Devonne Lovato 
- Demi Lovato",Demetria Devonne Lovato,
ABIERTA,"""Come into my world"" es una canción de...
- Rihanna 
- Lady Gaga 
- U2 
- Kylie Minogue",Kylie Minogue,
ABIERTA,"¿Con cuál de estos famosos NO ha hecho un dueto Malú?
- Lola Flores 
- Maluma 
- Tiziano Ferro ",Maluma,
ABIERTA,¿De qué autora es el ‘best-seller’ ‘La chica del tren’ ?,Paula Hawkins,
ABIERTA,"""La moda caduca, el estilo jamás"" ¿A quién pertenece esta cita célebre? ",Coco Chanel ,
ABIERTA,¿Cuál es el nombre de la protagonista de Brave?,Mérida ,
ABIERTA,¿Qué dirección de Sydney busca en Dory en Buscando a Nemo?,Calle Wallaby 42,
ABIERTA,¿Cómo se llamaba el mono que siempre acompañaba a Pipi Calzaslargas?,Señor Nilsson ,
ABIERTA,¿En qué famoso videojuego intentabas convertirte en pirata?,Monkey Island ,
ABIERTA,"¿Puedes continuar cantando esta canción de 'Los Trotamúsicos? 
Un, dos, tres, cuatro, somos cuatro...",cuatro tipos locos los cuatro,
ABIERTA,"¿En qué año se emitió el primer capítulo de 'Verano azul'?
- 1975
- 1981
- 1983",1981,
ABIERTA,¿Dónde está ubicada la estatua de la Sirenita?,Copenhague ,
ABIERTA,¿A qué animal le es físicamente imposible mirar al cielo?,Al cerdo ,
ABIERTA,¿Qué significan las siglas Lgtbiq?,"lesbianas, gays, bisexuales, transexuales, intersexuales, queer.",
HABILIDAD,,,
HABILIDAD,,,
HABILIDAD,,,
HABILIDAD,,,
HABILIDAD,,,
HABILIDAD,,,
HABILIDAD,,,